"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
4381656,"Da Lat Lotus Villa Boutique","VND 915.200","VND 1.164.800","Đã bao gồm thuế và phí","","Phòng Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/556865305.jpg?k=6adcad91d8fd630b99609745c01ae6cd1c0f5a32a4f18d8382338b07c6d4c657&o=","",8.9,"",11,"Đà Lạt","Cách trung tâm 3,6km","","No","No","2024-05-16T08:30:37.292Z"
3207540,"Dalat Wind Hotel","VND 2.126.250","VND 708.750","Đã bao gồm thuế và phí","","Phòng Giường Đôi Hạng Tiết Kiệm
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/402605354.jpg?k=ae420689441bae26e7875787e2285cffe5246d9cfb6ade1be6c3022d7a9fd17e&o=","",8.6,2,674,"Xuan Huong Lake, Đà Lạt","Cách trung tâm 0,7km","","No","No","2024-05-16T08:30:37.292Z"
11715374,"RAON Central Hotel","VND 1.713.040","VND 2.794.960","Đã bao gồm thuế và phí","","Phòng Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/538678935.jpg?k=ce6252bb3ee41e2acb718d90bede2d6fdf76d1fa37ead8eaebd0fdda888584c2&o=","",8.5,3,12,"Xuan Huong Lake, Đà Lạt","Cách trung tâm 0,7km","","No","No","2024-05-16T08:30:37.292Z"
11511577,"Happy Bun Hotel Da Lat","VND 1.667.359","VND 3.096.521","Đã bao gồm thuế và phí","","Phòng Superior Giường Đôi

Phòng Superior Giường Đôi
","https://cf.bstatic.com/xdata/images/hotel/square600/526738806.jpg?k=b94334183645d35b150b1e8158720a729afbe9f54e7fb25682fd91d516fae3bb&o=","",9.5,"",45,"Đà Lạt","Cách trung tâm 2,5km","","No","No","2024-05-16T08:30:37.292Z"
10745395,"Wealth Pearl Dalat Hotel","VND 1.587.600","VND 680.400","Đã bao gồm thuế và phí","","Phòng Giường Đôi

Phòng Giường Đôi Hạng Tiết Kiệm
","https://cf.bstatic.com/xdata/images/hotel/square600/545641477.jpg?k=05779fee203ab9e5b3830ae0103a6ef52671969ebbc86ccec3960bdd16295f9c&o=","",8.3,2,147,"Xuan Huong Lake, Đà Lạt","Cách trung tâm 350m","","No","No","2024-05-16T08:30:37.292Z"
10535490,"LA VIE EN ROSE 2 Hotel","VND 2.308.196","VND 769.399","Đã bao gồm thuế và phí","","Phòng Superior Giường Đôi

Phòng Tiêu Chuẩn Giường Đôi
","https://cf.bstatic.com/xdata/images/hotel/square600/486231547.jpg?k=50a21f64ab8a64ba2aeee1a78bef2a0e3b9b0953d6c18ed84da2099ace6dc5ba&o=","",8.7,"",180,"Xuan Huong Lake, Đà Lạt","Cách trung tâm 250m","","No","No","2024-05-16T08:30:37.292Z"
11227273,"Adalia Villa & Hotel Đà Lạt","VND 1.323.540","VND 998.460","+VND 121.649 thuế và phí","","Phòng Tiêu Chuẩn Có Giường Cỡ King
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/513306819.jpg?k=53b49ebac7ab51b5329973a493ece177a754ab804c2fd72e90a5efc4a6f3bdd8&o=","",8.8,3,157,"Đà Lạt","Cách trung tâm 4,8km","","No","No","2024-05-16T08:30:37.292Z"
7253273,"AN Boutique Hotel - STAY 24H","VND 1.907.786","VND 1.985.656","+VND 255.643 thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/499873403.jpg?k=3ed9896aee92b4703aefa99f8e3c1c98ca1c881031406f97f57726b24484c89e&o=","",8.7,3,1592,"Xuan Huong Lake, Đà Lạt","Cách trung tâm 0,7km","","No","No","2024-05-16T08:30:37.292Z"
8851644,"Vuon Xuan Hotel - STAY 24H","VND 1.768.292","VND 1.698.948","+VND 236.951 thuế và phí","","Phòng Superior Có Giường Cỡ Queen
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/499874897.jpg?k=76fbb7eaf860b728e45a8fa6f6b0e6345e8db2f4aa52ac6f381efff2dc3e989e&o=","",9,3,799,"Đà Lạt","Cách trung tâm 1,8km","","No","No","2024-05-16T08:30:37.292Z"
6851612,"Lovely House","VND 2.065.500","VND 688.500","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/276563245.jpg?k=f227ef731db7f48ac33f53e313b5be07bb711d1b27140e58f7738907762d34cf&o=","",8.2,2,674,"Xuan Huong Lake, Đà Lạt","Cách trung tâm 0,5km","","No","No","2024-05-16T08:30:37.292Z"
1372143,"Hong Mon Villa","VND 5.901.182","VND 5.026.934","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Tuyệt Đẹp Nhìn Ra Vườn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/254526196.jpg?k=401d9601253ba4a8282c8616a5541c32ec3d2865cf62f07742c042f3affd9f4b&o=","",8.7,3,284,"Đà Lạt","Cách trung tâm 1,5km","","No","No","2024-05-16T08:30:37.292Z"
8703967,"Wasabi House - Homestay bên chợ đà lạt","VND 852.000","VND 348.000","Đã bao gồm thuế và phí","","Giường trong Phòng ngủ tập thể cả Nam và Nữ 4 Người
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/512632397.jpg?k=72ede54c362b1298c3cb8c930cbff93f51956abe4aee4d0035afd4095008a86a&o=","",8.4,"",444,"Xuan Huong Lake, Đà Lạt","Cách trung tâm 250m","","No","No","2024-05-16T08:30:37.292Z"
11878890,"Tiến Anhh 1","VND 1.793.568","VND 3.811.332","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng 4 Người Có Ban Công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/546544808.jpg?k=1ac1cf877b072451ff82d8cb38e5012a54d9986f32dfbf7898b8f0c26e1a41ef&o=","",9.1,2,19,"Xuan Huong Lake, Đà Lạt","Cách trung tâm 0,7km","","No","No","2024-05-16T08:30:37.292Z"
