"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
3808564,"Tomorrow Hostel Vũng Tàu - Tomorrow Homestay","VND 791.466","VND 339.200
VND 149.334","Đã bao gồm thuế và phí","","Giường Trong Phòng Ngủ Tập Thể Cho Cả Nam Và Nữ 6 Giường
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/154385174.jpg?k=fa286736371cc196838a5c0618de635dcb2fa3b230ce6e48ccd0ea6c4dc5835b&o=","",8.8,"",373,"Vũng Tàu","Cách trung tâm 0,6km","","No","No","2024-05-16T12:40:19.862Z"
11221371,"KHÁCH SẠN SƠN THỊNH 23D THÙY VÂN","VND 3.596.746","VND 899.186
VND 574.668","Đã bao gồm thuế và phí","","Phòng Giường Đôi Lớn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/514651489.jpg?k=baf96260d6e0a5423433b8eccb2245af532bc19ec7a9352f8b01b3d62850f040&o=","",8.9,"",54,"Back Beach, Vũng Tàu","Cách trung tâm 2km","","No","No","2024-05-16T12:40:19.862Z"
8486268,"Mercury Hotel & Apartment","VND 3.128.394","VND 347.600","Đã bao gồm thuế và phí","","Phòng Giường Đôi Có Ban Công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/507519540.jpg?k=e9c765fa29ebc4f5a29926b2b8b37d5211f28f4c6273e78897cd0e4963b36a4f&o=","",7.9,2,175,"Front Beach, Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T12:40:19.862Z"
1797414,"BH Residence Inn Hotel & Apartment","VND 2.764.216","VND 2.451.284
VND 579.500","Đã bao gồm thuế và phí","","Phòng Có 2 Giường Cỡ Queen
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/283195711.jpg?k=306cb678e1f0d6c3faf1a13afacf0127d35316ce23294d1b713a68c644e645a1&o=","",8.4,"",676,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T12:40:19.862Z"
9247775,"Rubillion Hotel - 5-Min Walking to Back Beach","VND 2.981.884","VND 2.981.884
VND 662.640","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/530498801.jpg?k=a2146b099012e588a3b031c57bb3182da187542cfc08bb6f0a935961774b18e0&o=","",8.1,3,386,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T12:40:19.862Z"
11263257,"The Song Vita's Apartment","VND 3.602.236","VND 2.026.258
VND 695.656","Đã bao gồm thuế và phí","","Căn hộ 2 phòng ngủ nhìn ra cảnh thành phố
","https://cf.bstatic.com/xdata/images/hotel/square600/517058774.jpg?k=8c025ac64f636a30dc669dbc9077295b1d3e1932985da2187653e85c6b32d6df&o=","",8.4,4,38,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T12:40:19.862Z"
9716378,"The Sóng Apartment Sea View - Căn Hộ Biển Nghỉ Dưỡng - Hao's Homestay","VND 2.264.558","VND 1.273.814
VND 437.327","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/514880588.jpg?k=7ff88ee3f2551f5dc97538e670c4a361f0a30d62826f2ba9830273175d54be95&o=","",8.6,3,193,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T12:40:19.862Z"
11439240,"Phúc Đạt Hotel","VND 2.792.556","VND 787.644
VND 397.800","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/525063242.jpg?k=8c8e109ccdeb5bd91ae8ea045f2eff06e8aff5dc462cf380c1ddff8ad7cbb953&o=","",9.1,3,28,"Vũng Tàu","Cách trung tâm 1,1km","","No","No","2024-05-16T12:40:19.862Z"
2263195,"VeeVoo Hotel","VND 2.541.890","","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/93418923.jpg?k=55884d2ce943cf5f72cf343f06beccaf17a4989aa0f45d7079581e1bd7ac362f&o=","",8.5,2,285,"Vũng Tàu","Cách trung tâm 1,2km","","No","No","2024-05-16T12:40:19.862Z"
9760503,"The Song Premium Apartment","VND 2.426.940","VND 9.707.760
VND 1.348.300","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/439144899.jpg?k=8490d044f8efa91aa1dd28f2a8128397073b7bebbdee9285f94a28ac5a1cb9a9&o=","",8.6,4,374,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T12:40:19.862Z"
9320021,"The Sóng Vũng Tàu - Khang Aparment","VND 2.841.477","VND 4.262.216
VND 1.030.307","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/504908570.jpg?k=a73c1ad7674f845b9419a49aeb5abcf13f9877169425213fd05ab76a962e5a7c&o=","",8.6,4,144,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T12:40:19.862Z"
5728539,"ibis Styles Vung Tau","VND 7.844.680","","+VND 1.051.187 thuế và phí","Bao bữa sáng","Phòng Tiêu Chuẩn 2 Giường Đơn 
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/519498616.jpg?k=b6bea4acad8cf02a8a9c0c61de7308dc154f415022171be305d876d0379bcff0&o=","",8.1,4,938,"Back Beach, Vũng Tàu","Cách trung tâm 1,4km","","No","No","2024-05-16T12:40:19.862Z"
9541429,"Minhome vũng tàu căn hộ Goldsea","VND 4.805.194","VND 4.093.314
VND 988.723","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/467167005.jpg?k=1454da400a5b5da41cbe7e6dd8929322a76210738596b5780a8145e2ff5579f3&o=","",8.4,4,83,"Vũng Tàu","Cách trung tâm 1,5km","","No","No","2024-05-16T12:40:19.862Z"
9290367,"Sunset Bãi Dâu Boutique Hotel Vũng Tàu","VND 2.653.344","","Đã bao gồm thuế và phí","","Phòng Giường Đôi Nhìn Ra Núi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/411165280.jpg?k=e4347aaafcba87820c47a92f3e380260c2cfd71270a571bcd41ab6351369255f&o=","",8,3,230,"Mulberry Beach, Vũng Tàu","Cách trung tâm 4km","","No","No","2024-05-16T12:40:19.862Z"
9200516,"Nice blue Sea View Apartment in Vũng Tàu 1601","VND 4.667.520","VND 1.555.840
VND 848.640","+VND 3.450.000 thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/525037391.jpg?k=bd396bac489797785aee77ca25087c95e5e341f1034121c28478d42682fc94d7&o=","",8.7,4,12,"Back Beach, Vũng Tàu","Cách trung tâm 1,4km","","No","No","2024-05-16T12:40:19.862Z"
11401946,"Khang Homestay - Goldsea Apartment ,Căn Hộ Du Lịch Cao Cấp Ven Biển","VND 4.257.360","VND 6.386.040
VND 1.182.600","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/544076074.jpg?k=9a4d54f4b4ff0092a2b163bafb09bef70f8501411471ed5729759ff7c2d6c5c9&o=","",8.7,4,9,"Vũng Tàu","Cách trung tâm 1,5km","","No","No","2024-05-16T12:40:19.862Z"
4551783,"Căn hộ Nghỉ Dưỡng Aparment Melody Vũng Tàu - Tomorrow Homestay 1","VND 2.412.000","VND 2.412.000
VND 576.000","Đã bao gồm thuế và phí","","Căn hộ Deluxe
","https://cf.bstatic.com/xdata/images/hotel/square600/178823152.jpg?k=7e63731d8ea538a0d7158b45bea4daf56c53f04d9db19cae48f4d640fbdb3e73&o=","",8.6,3,201,"Vũng Tàu","Cách trung tâm 1,2km","","No","No","2024-05-16T12:40:19.862Z"
8884305,"THE SÓNG Apartment Vũng Tàu - Trinh's House","VND 2.546.203","VND 1.091.230
VND 527.567","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/398776987.jpg?k=73495861fa5642b7e63d27110010404481a1d004bd143be52cfcaaaeda935185&o=","",8.4,4,521,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T12:40:19.862Z"
11202589,"Fullhouse Vũng Tàu Hotel TPVT","VND 2.029.028","VND 317.170
VND 225.448","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi Có Ban Công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/512153254.jpg?k=0101b1bfe384b86737e9fd7b6b83dc9ac931c3bf9e85661ac52bd556f49512b4&o=","",8,"",24,"Vũng Tàu","Cách trung tâm 1,2km","","No","No","2024-05-16T12:40:19.862Z"
11026476,"Jolilian Hotel & Apartment","VND 1.997.170","VND 2.163.602
VND 567.378","Đã bao gồm thuế và phí","","Phòng Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/508334560.jpg?k=71c7177b8bea50feded26a651ca1e7bf5a2eac50622777b2074950f62ca64c28&o=","",8.7,3,55,"Vũng Tàu","Cách trung tâm 1,2km","","No","No","2024-05-16T12:40:19.862Z"
