"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
10606112,"Cat Ba Xanh Spring Garden Hotel","VND 5.177.700","VND 4.236.300
VND 1.046.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng 4 Người Tiện nghi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/541309771.jpg?k=63b7519a852663596fe4f75f1a275eacbfbd0bdd617ef11fc29eb89cf9682472&o=","",9.2,2,260,"Đảo Cát Bà","","","No","No","2024-05-16T12:45:34.310Z"
4006725,"Phoenix Flower Hotel","VND 3.612.600","VND 446.000
VND 401.400","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/164295641.jpg?k=6d808b807138c7102c94026e90973d72281648b5626771b07e1b7506cf71bc96&o=","",9.1,2,1022,"Đảo Cát Bà","","","No","No","2024-05-16T12:45:34.310Z"
10821491,"Cat Ba Hongkong Hotel","VND 3.742.200","VND 3.061.800
VND 756.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Giường Đôi Có Phòng Tắm Riêng

Phòng Giường Đôi Nhỏ
","https://cf.bstatic.com/xdata/images/hotel/square600/498044524.jpg?k=aa0cfa6cf2b6a1652aa8e008570f0f3075103df18ebd84cc4fdc63fab2c691ed&o=","",9.2,2,314,"Đảo Cát Bà","","","No","No","2024-05-16T12:45:34.310Z"
5419551,"Meliá Vinpearl Hai Phong Rivera","VND 10.961.856","VND 1.217.984","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/435765917.jpg?k=7e140a2d7978ec2e21e5e28638d221cc67ef361743e8037ffda14e52bc276fb9&o=","",8.9,5,200,"Thành phố Hải Phòng","","","No","No","2024-05-16T12:45:34.310Z"
3807716,"Mountain Pearl Hotel","VND 2.880.000","VND 720.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Tiêu Chuẩn 2 Giường Đơn Hướng Núi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/465352611.jpg?k=38baec438778ea5a507a3ecac15bbb5eb7e849fea8ccafb6378e6fa6dad8c7c7&o=","",8.6,2,603,"Đảo Cát Bà","","","No","No","2024-05-16T12:45:34.310Z"
8874518,"Khách Sạn Nam Sơn","VND 2.012.996","VND 355.234
VND 312.786","+VND 185.018 thuế và phí","","Phòng Deluxe Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/387445800.jpg?k=01d7b0014dce0e4f5b9b4e8f5febde67f90de4563649044b3ecec1d6acb3ed53&o=","",7.1,2,62,"Ðông Khê","","","No","No","2024-05-16T12:45:34.310Z"
4997861,"Catba Pod Hostel","VND 980.000","","Đã bao gồm thuế và phí","","Giường Trong Phòng Ngủ Tập Thể Nữ 6 Giường
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/406656929.jpg?k=1c2f44d2a9cdd7bed53af0ec91d2593b4c420c92cc27c358e1b03c48e7d5a545&o=","",8.7,2,855,"Đảo Cát Bà","","","No","No","2024-05-16T12:45:34.310Z"
11126991,"Galaxy Home - Hotel Sky view","VND 900.000","","Đã bao gồm thuế và phí","Bao bữa sáng","Giường Trong Phòng Ngủ Tập Thể 8 Giường
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/517130200.jpg?k=4e8e1e7b27a13b0f7420b5c3e9612481ca11a5fa32e6cf96837b4a749300055c&o=","",7.9,3,30,"Đảo Cát Bà","","","No","No","2024-05-16T12:45:34.310Z"
4947796,"Cat Ba Countryside Homestay","VND 554.400","","Đã bao gồm thuế và phí","","Giường Trong Phòng Ngủ Tập Thể 10 Giường Cho Cả Nam Lẫn Nữ
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/533024495.jpg?k=ad1b9d9cfa17fc9580b7bcde77355e61c632b239ea7b36ba9f639a1d7deda676&o=","",9.3,2,376,"Đảo Cát Bà","","","No","No","2024-05-16T12:45:34.310Z"
3061050,"Mercure Hai Phong","VND 11.280.000","","+VND 1.511.520 thuế và phí","Bao bữa sáng","Phòng Superior Có Giường Cỡ King
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/227630238.jpg?k=22416a7c01f99cf95b94003c37147f3f237be75650d05269427ce31f2bd09d5c&o=","",8.2,5,409,"Thành phố Hải Phòng","","","No","No","2024-05-16T12:45:34.310Z"
