"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
11377032,"Vina Center Hotel","VND 2.347.964","VND 320.176","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe 2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/533132356.jpg?k=29978e4be6fc7c060439ca7a60a62028bd7b3fe165ebbe3cc64901f429570088&o=","",8.3,3,145,"Huế","Cách trung tâm 1,1km","","No","No","2024-05-16T12:42:19.560Z"
9691265,"Kenppi HOMESTAY","VND 1.633.500","VND 544.500
VND 242.000","+VND 150.138 thuế và phí","","Phòng Giường Đôi Với Phòng Tắm Riêng Bên Ngoài

Phòng Giường Đôi Với Phòng Tắm Riêng Bên Ngoài
","https://cf.bstatic.com/xdata/images/hotel/square600/479918475.jpg?k=b3ee00a13862b6d9d8c4785ccaf0f7344910c420cfc61fc9ec71c09bd4103ff1&o=","",8.3,"",7,"Huế","Cách trung tâm 2,1km","","No","No","2024-05-16T12:42:19.560Z"
1356663,"Jade Hotel","VND 3.906.000","VND 1.674.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/491381888.jpg?k=e4a876df59852f78f935767abea6ac1cb7cf800af93f7ac1c6902ad0237c9a5f&o=","",8.7,2,640,"Huế","Cách trung tâm 400m","","No","No","2024-05-16T12:42:19.560Z"
5457311,"DMZ Hostel","VND 1.211.760","VND 2.352.240
VND 396.000","Đã bao gồm thuế và phí","","Giường Tầng Trong Phòng Ngủ Tập Thể Cho Nam Và Nữ
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/508133397.jpg?k=21d8519c528dfb192ebe45a0e2841a5b616b631050b02b71ced910d06a1129c0&o=","",7.1,1,268,"Huế","Cách trung tâm 0,8km","","No","No","2024-05-16T12:42:19.560Z"
6983135,"Sapphire HOTEL HUE","VND 3.866.310","VND 494.190","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/502238367.jpg?k=7bc1f22f1ad0f8c764395b3736893463f603a49787654d7fde010b40c1dc06ec&o=","",8.8,3,359,"Huế","Cách trung tâm 0,9km","","No","No","2024-05-16T12:42:19.560Z"
2835440,"Timothy Homestay Hue","VND 1.755.000","VND 1.170.000
VND 325.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Có Giường Cỡ King Nhìn Ra Vườn

Phòng Superior Có Giường Cỡ Queen
","https://cf.bstatic.com/xdata/images/hotel/square600/240093289.jpg?k=348b39bd08e88525af5df5a67bfd76693c7852daaf8e9d905bb2d53902816140&o=","",9.4,3,302,"Huế","Cách trung tâm 3,6km","","No","No","2024-05-16T12:42:19.560Z"
9659353,"Vina Spa Hotel","VND 3.331.575","","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe 2 Giường Đơn

Phòng Deluxe Giường Đôi Nhìn Ra Biển
","https://cf.bstatic.com/xdata/images/hotel/square600/432951202.jpg?k=6e63d2a0a7935f311dfc359f1dca78a48505b0d5d03bca8d69b966faba60fd55&o=","",8.4,3,357,"Huế","Cách trung tâm 1,2km","","No","No","2024-05-16T12:42:19.560Z"
11943339,"Nineties homestay","VND 540.000","","Đã bao gồm thuế và phí","","Phòng Đơn Với Phòng Tắm Vòi Sen Và Toilet Chung
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/551090866.jpg?k=f3e3e28544ff6cf5af58e33f884f6f9ec87a76636ea1af8fcf7e1b42c909659d&o=","",9.5,"",6,"Huế","Cách trung tâm 1km","","No","No","2024-05-16T12:42:19.560Z"
10747254,"Kenpii Homestay - có cho thuê xe đạp","VND 1.624.000","VND 696.000","+VND 149.265 thuế và phí","","Phòng Giường Đôi Với Phòng Tắm Riêng Bên Ngoài

Phòng Giường Đôi Với Phòng Tắm Riêng Bên Ngoài
","https://cf.bstatic.com/xdata/images/hotel/square600/504845804.jpg?k=b0fa778b335395929a45018e22e76254556b4ad43c02ddede15acacf276f208c&o=","",9,"",1,"Huế","Cách trung tâm 2,1km","","No","No","2024-05-16T12:42:19.560Z"
251141,"Victory Hotel","VND 3.870.970","VND 3.297.494","Đã bao gồm thuế và phí","","Phòng Deluxe 2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/532168916.jpg?k=385286b0c5525bae52b8d2789c0d356679972ac4bc09fff938bde809f4166a97&o=","",7.6,3,12,"Huế","Cách trung tâm 1,3km","","No","No","2024-05-16T12:42:19.560Z"
