"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
1984591,"La Sera Hotel","VND 2.154.600","VND 3.231.900
VND 598.500","Đã bao gồm thuế và phí","","Phòng 2 giường đơn có ban công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/362950665.jpg?k=422f8a45da94e13226eca212446f13cbf996e67a607e00805e848237d678fcec&o=","",8.2,4,1339,"Nha Trang Beach, Nha Trang","Cách trung tâm 1,4km","","No","No","2024-05-16T13:54:28.053Z"
9122965,"Oceanus Oasis Retreat Muong Thanh Vien Trieu","VND 1.453.432","VND 1.341.629
VND 369.159","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/478906560.jpg?k=5b3833592ef88e419885f1f6a01f13ee892f3941233aa63d4bc488b26e67d53d&o=","",7.3,3,192,"Pham Van Dong Beach, Nha Trang","Cách trung tâm 4km","","No","No","2024-05-16T13:54:28.053Z"
1741436,"Siren Flower Hotel","VND 1.318.680","VND 1.978.020
VND 366.300","Đã bao gồm thuế và phí","","Phòng Superior Giường Đôi/2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/532516537.jpg?k=1577e1f9a5048ba3fa15ed83fd806ee2475090417e97524110a153b65fbdce15&o=","",8.3,3,168,"Nha Trang Beach, Nha Trang","Cách trung tâm 1,5km","","No","No","2024-05-16T13:54:28.053Z"
260591,"The Summer Hotel","VND 2.430.000","VND 2.430.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Đơn hạng Tiết kiệm - Không có Cửa sổ 
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/557239161.jpg?k=1e5125a279b68ea3ae24bb57100f620acc532b8d45b762cef33b2f955d887590&o=","",8.4,4,42,"Nha Trang Beach, Nha Trang","Cách trung tâm 250m","","No","No","2024-05-16T13:54:28.053Z"
8758156,"Zenia Boutique Hotel Nha Trang","VND 2.878.092","VND 3.974.508
VND 761.400","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Superior Giường Đôi Nhìn ra Thành phố
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/387664435.jpg?k=9be2a499012cebb81f4143629aae61a18f343f2c1f584d80a9b0252d9aaa0410&o=","",8.8,4,590,"Nha Trang Beach, Nha Trang","Cách trung tâm 0,6km","","No","No","2024-05-16T13:54:28.053Z"
4019183,"Canary Nha Trang Hotel","VND 1.919.150","VND 3.411.820
VND 592.330","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/544600695.jpg?k=e3b5fcbdbc4ed0147e081381580404fae5bdad36caa1d3534b05d4fbc32a7acc&o=","",8.3,3,109,"Nha Trang","Cách trung tâm 4,9km","","No","No","2024-05-16T13:54:28.053Z"
1972326,"Senkotel Nha Trang Managed by NEST Group","VND 1.759.796","VND 3.739.564
VND 611.040","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi/2 Giường Đơn Nhìn Ra Thành Phố
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/514321680.jpg?k=1cdcbc2ddbf8a4efb48f124debb03322a5180536c68781e2e0d2902556087eec&o=","",8.5,2,198,"Nha Trang Beach, Nha Trang","Cách trung tâm 400m","","No","No","2024-05-16T13:54:28.053Z"
420414,"Prague Nha Trang","VND 1.519.964","VND 1.857.736
VND 375.300","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/488882259.jpg?k=8a073c54ad633d785bb3b36e5877c1c5e5793af21adb2913be497cf7ca07b96c&o=","",8.6,3,27,"Nha Trang Beach, Nha Trang","Cách trung tâm 350m","","No","No","2024-05-16T13:54:28.053Z"
4909817,"Larosa Hotel Nha Trang","VND 1.873.300","VND 1.532.700
VND 494.000","Đã bao gồm thuế và phí","","Phòng Deluxe 2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/206181088.jpg?k=344daec059b3815db834e297dc56eb65cc0d87cb69da5aa2f5d98665a5f1543e&o=","",8.4,3,7,"Nha Trang Beach, Nha Trang","Cách trung tâm 1km","","No","No","2024-05-16T13:54:28.053Z"
9468594,"Olwen Hotel","VND 1.279.432","VND 2.847.768
VND 492.800","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/419619471.jpg?k=0b6124f284878e03c7ecceffcb14405f1040a4abd1659876ac5f81beecfa2a2b&o=","",7.8,3,278,"Nha Trang Beach, Nha Trang","Cách trung tâm 450m","","No","No","2024-05-16T13:54:28.053Z"
