"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
9047398,"Mövenpick Resort Phan Thiet","VND 17.851.000","","+VND 2.392.034 thuế và phí","Bao bữa sáng","Phòng Superior có Giường cỡ King, Ban công và Tầm nhìn ra Biển
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/402211160.jpg?k=c9d07811b84326c8bb6d7f3bc84b8070897ded64bc5367f2cd4d314be20b2853&o=","",8.1,5,434,"Phan Thiết","Cách trung tâm 10,5km","","No","No","2024-05-16T12:43:42.105Z"
11444758,"Kim'ss House Hotel","VND 3.480.000","","Đã bao gồm thuế và phí","","Phòng Giường Đôi Có Ban Công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/523547068.jpg?k=5bbb48bbb88df224c24e17fb05dd8e99e716ee84df78f1a3adf3c5a93d0e7eed&o=","",7.6,"",7,"Phan Thiết","Cách trung tâm 1,2km","","No","No","2024-05-16T12:43:42.105Z"
11421158,"Lộc Vừng Homestay","VND 3.412.206","VND 6.623.694
VND 1.115.100","Đã bao gồm thuế và phí","","Phòng Superior 4 Người

Phòng Deluxe 4 Người
","https://cf.bstatic.com/xdata/images/hotel/square600/529337319.jpg?k=afd2c3cd404fa7457ed50f9c9b01458d1f46ec6b57606f93cfb5ccde33658618&o=","",9.3,"",19,"Phan Thiết","Cách trung tâm 2,2km","","No","No","2024-05-16T12:43:42.105Z"
8944805,"Trường Phúc Vinh Hotel","VND 720.000","","Đã bao gồm thuế và phí","","Giường Trong Phòng Ngủ Tập Thể 6 Giường
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/384582364.jpg?k=2038058eb6845cf982dd5446a8c94c516a223e8c55698b67c37e232020534345&o=","",7.8,"",75,"Phan Thiết","Cách trung tâm 1,8km","","No","No","2024-05-16T12:43:42.105Z"
10433064,"Apec Mandala Chambay Mũi Né","VND 9.265.000","VND 1.635.000","Đã bao gồm thuế và phí","","Phòng Đơn Deluxe Nhìn Ra Biển
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/477024959.jpg?k=804361cca6398da62da71b916a4b7c8b04235b891ade3650e06b22e9aef65a28&o=","",6.2,5,11,"Phan Thiết","Cách trung tâm 35,3km","","No","No","2024-05-16T12:43:42.105Z"
1179759,"Hoang Long Hotel Phan Thiết","VND 8.640.000","VND 960.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe Giường Đôi/2 Giường Đơn Nhìn Ra Thành Phố
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/538647654.jpg?k=da64093f264d0e3118732c42ed023b7d697961479197d7bbbdfc6155f1aa0f40&o=","",8.4,3,119,"Phan Thiết","Cách trung tâm 1,2km","","No","No","2024-05-16T12:43:42.105Z"
10964340,"Apec mandala mũi né","VND 4.500.000","","Đã bao gồm thuế và phí","","Phòng Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/501292749.jpg?k=552f8d908d5383a34f0389c44832be89fc7decc329480314d3d6930dae1ab776&o=","",1,5,1,"Phan Thiết","Cách trung tâm 0,6km","","No","No","2024-05-16T12:43:42.105Z"
10760510,"Villa Ngọc Châu Phan Thiết Chi nhánh 1 - 2 Phòng Ngủ, Có Bếp, Phòng Ăn, Phòng Khách, Miễn Phí Sân BBQ và Bãi Xe Ô Tô Rộng Rãi","VND 4.967.818","VND 3.044.792","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/493019533.jpg?k=facc19da7e518bd6c2518fb87c0a781b0b41510af2deaead4ebe43880552cd69&o=","",3,"",1,"Phan Thiết","Cách trung tâm 3,1km","","No","No","2024-05-16T12:43:42.105Z"
11273837,"Homestay Khương Lạc Viên","VND 6.000.000","","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/515411451.jpg?k=5bd666604ec43d3d61d3ae6293247768d908450de5a2404889082e9e7edbb904&o=","","","","","Phan Thiết","Cách trung tâm 33,2km","","No","No","2024-05-16T12:43:42.105Z"
10580986,"Apec Mandala Mui Ne","VND 16.461.600","VND 866.400","Đã bao gồm thuế và phí","","Phòng Gia Đình
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/533242349.jpg?k=b12fc3e269b9b02602a750573b8e31c4b66623b03819c1c1743a4b754cff35c1&o=","",5,5,3,"Phan Thiết","Cách trung tâm 28km","","No","No","2024-05-16T12:43:42.105Z"
10238647,"Căn hộ 2br Ocean Vista - SeaHome O867,7O7,123","VND 9.300.000","","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/468053329.jpg?k=45e1a34facc445b9fbd05a59cd5ce5aec579999c3f128fc603722b84b3de88db&o=","",7.3,"",3,"Phan Thiết","Cách trung tâm 9,1km","","No","No","2024-05-16T12:43:42.105Z"
11846099,"Apec Mandala Mũi Né Resorts & Hotels NN","VND 18.795.006","VND 8.055.003","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/549297934.jpg?k=f5dd37a988ce03521b7105b8ac98e6af2340f88e07cb8e11c3d7d9917573e6cf&o=","","","","","Phan Thiết","Cách trung tâm 33,1km","","No","No","2024-05-16T12:43:42.105Z"
235587,"TTC Hotel Phan Thiet","VND 4.278.744","VND 1.747.656
VND 669.600","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Superior Có Giường Cỡ King Nhìn Ra Cảnh Thành Phố
","https://cf.bstatic.com/xdata/images/hotel/square600/456936518.jpg?k=14ffdb04c291754bc446aba9faa968424f66967324f7866fbfd094aa78316e60&o=","",8,4,521,"Phan Thiết","Cách trung tâm 1,8km","","No","No","2024-05-16T12:43:42.105Z"
6217407,"EMERALD OCEAN HOTEL","VND 1.210.440","VND 195.067
VND 134.493","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi
","https://cf.bstatic.com/xdata/images/hotel/square600/426295909.jpg?k=aed8126ab07f8dba61cac0bd4181522ace86bc22e895def0d6883b7b8b42e90f&o=","",7.6,2,152,"Phan Thiết","Cách trung tâm 1,9km","","No","No","2024-05-16T12:43:42.105Z"
10460751,"M Continental by Mandala Mui Ne","VND 2.439.000","VND 2.439.000
VND 542.000","Đã bao gồm thuế và phí","","Phòng Giường Đôi
","https://cf.bstatic.com/xdata/images/hotel/square600/487560554.jpg?k=9cf96d36fd5baf38efb420ecb9b9b8b9fbe84cd9be7e771a0729a63365b2d89f&o=","",7.3,5,85,"Phan Thiết","Cách trung tâm 28km","","No","No","2024-05-16T12:43:42.105Z"
8068876,"Sea Night Hotel","VND 1.647.000","VND 183.000","+VND 131.760 thuế và phí","","Phòng Có Giường Cỡ King Với Ban Công
","https://cf.bstatic.com/xdata/images/hotel/square600/333122523.jpg?k=66dac39a251b28f8f626ef7da158edb1fd6b76f25f2db15ea358f43f764e7422&o=","",8,3,181,"Phan Thiết","Cách trung tâm 1,9km","","No","No","2024-05-16T12:43:42.105Z"
7035379,"Biển Nhớ Hotel & Coffee","VND 1.312.740","VND 231.660
VND 210.600","Đã bao gồm thuế và phí","","Phòng Superior Có Giường Cỡ King
","https://cf.bstatic.com/xdata/images/hotel/square600/556596526.jpg?k=24860c293bb573a8601623ccf4f093ce1f55765931212fd82ee8efece47a66e0&o=","",7.1,"",71,"Phan Thiết","Cách trung tâm 1,3km","","No","No","2024-05-16T12:43:42.105Z"
8153993,"Thọ Hướng Hotel - Phan Thiết","VND 2.295.000","VND 255.000","Đã bao gồm thuế và phí","","Phòng Deluxe Có Giường Cỡ Queen
","https://cf.bstatic.com/xdata/images/hotel/square600/373429915.jpg?k=e5c2e681709d9ee7d9cc2503182133b8cd04d963f2c418f62abf3f18829a551f&o=","",8.1,4,128,"Phan Thiết","Cách trung tâm 1,1km","","No","No","2024-05-16T12:43:42.105Z"
9696326,"Mandala Cham Bay Mui Ne","VND 5.346.000","VND 5.346.000
VND 1.188.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Premium Deluxe Giường Đôi
","https://cf.bstatic.com/xdata/images/hotel/square600/445116348.jpg?k=ebb1cd291fe77b267be81bd45c479ef07d7a0924709899fe46308bad9fbe10c5&o=","",6.8,5,111,"Phan Thiết","Cách trung tâm 27,9km","","No","No","2024-05-16T12:43:42.105Z"
10783491,"A.N Homestay","VND 1.390.464","VND 654.336
VND 227.200","Đã bao gồm thuế và phí","","Phòng Giường Đôi
","https://cf.bstatic.com/xdata/images/hotel/square600/511958518.jpg?k=63b3bc70718771b68e50cdc966ccf9c97f4b70e58bd25cb9f367ed2e088feb21&o=","",8.5,3,24,"Phan Thiết","Cách trung tâm 1,9km","","No","No","2024-05-16T12:43:42.105Z"
