"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
8894718,"HAYA Sea View Hotel Phu Quoc","VND 4.148.640","VND 1.037.160
VND 619.200","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/521283199.jpg?k=1610b642699136ebe3850a8971698fee54e94e096e035105ef77a5bc65dcb42f&o=","",8.8,4,180,"Duong Dong, Phú Quốc","Cách trung tâm 0,7km","","No","No","2024-05-16T12:42:53.235Z"
899605,"Sea Sense Resort","VND 9.574.244","VND 9.574.244
VND 2.366.668","Đã bao gồm thuế và phí","Bao bữa sáng & bữa trưa","Biệt Thự Deluxe Nhìn Ra Biển
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/410700408.jpg?k=fbd4fed3a606728c94d0b3891be9ff2cf9b7b4c9e02b5e8cbd634f9a105f13f1&o=","",8.8,4,700,"Ong Lang, Phú Quốc","Cách trung tâm 4,7km","","No","No","2024-05-16T12:42:53.235Z"
1061229,"Hong Bin Bungalow","VND 2.407.200","VND 4.672.800","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi Có Ban Công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/409553702.jpg?k=549159df4025e38679617b1d157b2c3c2e23db39233ba889a700895f03ef366d&o=","",8.3,3,400,"Duong Dong, Phú Quốc","Cách trung tâm 1,4km","","No","No","2024-05-16T12:42:53.235Z"
3870678,"Palma Resort","VND 3.424.276","VND 1.141.424
VND 564.300","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/160401973.jpg?k=89acfce21a57064de131af6cd20f2b741371c0e04094e214e1927ad23b2685f8&o=","",8.6,3,17,"Duong Dong, Phú Quốc","Cách trung tâm 1,7km","","No","No","2024-05-16T12:42:53.235Z"
8253454,"The Tahiti Beach Hotel","VND 7.387.200","VND 13.132.800
VND 2.280.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Có Giường Cỡ Queen Nhìn Ra Vườn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/378317915.jpg?k=b3b58047fe06c0da026fd19c5a94d2fbbc17f189dde5a931167d93e63aa60a0c&o=","",8.4,4,356,"Duong Dong, Phú Quốc","Cách trung tâm 1,6km","","No","No","2024-05-16T12:42:53.235Z"
5938113,"Aurora House","VND 1.363.636","VND 1.363.634","+VND 109.091 thuế và phí","","Giường Trong Phòng Nghỉ Tập Thể 8 Giường Cho Cả Nam Và Nữ
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/283981727.jpg?k=bdf6645ff347fba8e55716e80f63579e1a6b2158badcd0cdf29b196df2a53297&o=","",9,3,61,"Duong Dong, Phú Quốc","Cách trung tâm 3,6km","","No","No","2024-05-16T12:42:53.235Z"
10331892,"Light House Phú Quốc","VND 2.635.772","VND 424.764
VND 292.864","+VND 210.862 thuế và phí","","Phòng Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/472761283.jpg?k=bf5b8d3f47b36b87fcc139344ab9c96a40f9be532080f4fd76d792938c283a89&o=","",8.3,3,40,"Duong Dong, Phú Quốc","Cách trung tâm 200m","","No","No","2024-05-16T12:42:53.235Z"
2748683,"Nadine Phu Quoc Resort & Spa","VND 3.619.180","VND 3.477.250
VND 788.492","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi/2 Giường Đơn Nhìn Ra Vườn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/528266366.jpg?k=fb7d87232a0c04bfb83be9d7aad7d4bd76af50d92e9b5f38aaaf0e5b9dc3fd44&o=","",8.6,4,356,"Duong Dong, Phú Quốc","Cách trung tâm 3,3km","","No","No","2024-05-16T12:42:53.235Z"
2148543,"Amarin Resort & Spa Phu Quoc","VND 9.190.260","VND 5.632.740
VND 1.647.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe có Giường Đôi và Tầm nhìn ra Đại dương

Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển
","https://cf.bstatic.com/xdata/images/hotel/square600/247999392.jpg?k=dbfb2e219c99e122a00575f3f79e3ce58bb38152f09a15754bb95912fc74c3c3&o=","",8.9,4,118,"Duong Dong, Phú Quốc","Cách trung tâm 4km","","No","No","2024-05-16T12:42:53.235Z"
4225821,"Maison Du VietNam Resort & Spa","VND 5.103.000","VND 2.187.000
VND 810.000","+VND 408.240 thuế và phí","Bao bữa sáng","Bungalow Nhìn Ra Vườn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/391573926.jpg?k=89f24d0da4a69e1b34d952906a649591ad89d56a133dcc6b62df5768803ea4d5&o=","",8.6,4,201,"Phú Quốc","Cách trung tâm 8,1km","","No","No","2024-05-16T12:42:53.235Z"
