"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
11347481,"RAON Hoian Beach","VND 2.029.889","VND 1.297.797
VND 497.240","Đã bao gồm thuế và phí","","Phòng Giường Đôi Nhìn Ra Vườn

Phòng 2 giường đơn có ban công
","https://cf.bstatic.com/xdata/images/hotel/square600/523459070.jpg?k=9592a2b3a7d70ab4a07c1f4939f2746e30a59dfb60d21b8657c7d2d690ce12c7&o=","",9.1,4,132,"Cửa Đại, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
9874675,"Thuấn Huê Boutique Hotel - Near Vinpearl Nam Hội An","VND 2.169.349","VND 5.061.814
VND 803.462","Đã bao gồm thuế và phí","","Phòng Có Giường Cỡ King Nhìn Ra Hồ Bơi

Phòng Có Giường Cỡ King Nhìn Ra Vườn
","https://cf.bstatic.com/xdata/images/hotel/square600/465166497.jpg?k=539fd8f9d458f4cd955d629cab2f107f688a6fde7b40f5d006f7ab7929bc9c58&o=","",9.3,3,86,"Thăng Bình","","","No","No","2024-05-16T12:44:47.532Z"
4385982,"Blooms Boutique Village","VND 4.775.092","VND 3.906.893
VND 964.665","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Có Giường Cỡ Queen Nhìn Ra Vườn

Phòng Superior Giường Đôi/2 Giường Đơn Nhìn Ra Vườn.
","https://cf.bstatic.com/xdata/images/hotel/square600/383617178.jpg?k=26bb4afa1c8bded4a0f58bce20343704fe7fc1fcdb09774af1ab3d05026414cf&o=","",9.2,4,1095,"Tân An, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
10274683,"Palm Boutique Village - STAY 24H","VND 1.906.383","VND 856.491
VND 437.367","Đã bao gồm thuế và phí","","Phòng 2 Giường Đơn Có Sân Hiên

Phòng Deluxe Giường Đôi Có Ban Công
","https://cf.bstatic.com/xdata/images/hotel/square600/473940917.jpg?k=7278f3cbe69468fd848f22a2d821d7b7b6cf39287d8efb4e0efe2e042e3611a6&o=","",9.3,4,275,"Cẩm Châu, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
9808972,"Hoi An Babylon Riverside Hotel & Spa","VND 10.703.176","VND 13.081.658
VND 3.765.166","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Giường Đôi/2 Giường Đơn Hạng Tiết Kiệm
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/556787833.jpg?k=9751a193d2a25f593f701c020f8c2d0eea36c40b2bbeb750e5f4d3262c91541e&o=","",9.4,4,665,"Cẩm Châu, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
6747763,"hoi an center town","VND 4.952.703","VND 1.063.125
VND 700.320
VND 287.053","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi

Phòng Deluxe Gia đình
","https://cf.bstatic.com/xdata/images/hotel/square600/403378973.jpg?k=661639afd71ddad5b33e1965210df8aa611aba76af0dde4635dfab921a5c247c&o=","",9.6,2,764,"Cẩm Phô, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
594052,"Legacy Hoi An Resort","VND 12.681.900","VND 8.108.100
VND 2.310.000","Đã bao gồm thuế và phí","","Phòng 3 Người Deluxe Nhìn Ra Vườn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/538284179.jpg?k=ce8364a52ddc01444ae9609e4d735ed33a6bcf7a811f41b336a74b54c9f620c6&o=","",9.5,4,200,"Cẩm Thanh, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
263723,"Hai Yen Hotel","VND 2.561.182","VND 2.665.718
VND 758.100","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi/2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/371843394.jpg?k=6cdcd265cd47c6f42144299ee0b7fd3fe22d0357a076af07c266f2666f01bd8e&o=","",7.7,2,670,"Cẩm Châu, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
9938326,"iHome Hoi An","VND 2.100.000","","Đã bao gồm thuế và phí","Bao bữa sáng","Giường Đơn trong Phòng ngủ tập thể
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/519812244.jpg?k=efe68f015c5ef9f54a93adf021b003fa81ae541d9066558f20e481046c5882f4&o=","",9.2,3,1327,"Cẩm Nam, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
2085259,"Elites Riverside Hotel & Spa Hoi An","VND 5.360.850","VND 4.386.150
VND 1.083.000","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/123672419.jpg?k=ddb293b4fe52c57397566bcd3e1b91bb57c60706b0b575cafed4e0216ca64f79&o=","",9.2,4,103,"Cẩm Châu, Hội An","","","No","No","2024-05-16T12:44:47.532Z"
