"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
5064485,"Diamond Luxury Hotel","VND 4.104.000","VND 6.156.000
VND 1.140.000","Đã bao gồm thuế và phí","","Phòng Deluxe Có Giường Cỡ Queen

Phòng Giường Đôi Hạng Bình Dân
","https://cf.bstatic.com/xdata/images/hotel/square600/468644235.jpg?k=5f168427226e94e9e3d2c871963d5ff93a2b7033e80578bfff2b3300a9b97b96&o=","",8.5,3,876,"Hạ Long","Cách trung tâm 450m","","No","No","2024-05-16T12:41:31.590Z"
8874397,"Harmony HaLong Hotel","VND 3.171.960","VND 4.757.940
VND 881.100","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi

Phòng Deluxe Giường Đôi/2 Giường Đơn
","https://cf.bstatic.com/xdata/images/hotel/square600/487612242.jpg?k=d1862e90d6cec5f755d2d81d0cacaa16d616e4775e0bcda17882d8967c129adc&o=","",8.7,3,236,"Hạ Long","Cách trung tâm 2,1km","","No","No","2024-05-16T12:41:31.590Z"
7209503,"Jade Ha Long Hotel","VND 3.901.742","VND 7.246.090
VND 1.238.648","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi/2 Giường Đơn Có Ban Công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/390020061.jpg?k=7204624638e291e5fa520db931a9344e819b64eae52fa7435a0862335d28d084&o=","",8.9,3,136,"Bãi Cháy, Hạ Long","Cách trung tâm 4,6km","","No","No","2024-05-16T12:41:31.590Z"
505289,"Royal Halong Hotel","VND 18.810.000","VND 28.215.000
VND 5.225.000","Đã bao gồm thuế và phí","Bao bữa sáng","Suite Nhìn Ra Biển
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/120183755.jpg?k=74439f4c63427d1a482bbcc0ed4f4fb538dd2604769e9b192d8ba7d96b4f1d19&o=","",8.5,5,63,"Bãi Cháy, Hạ Long","Cách trung tâm 4,4km","","No","No","2024-05-16T12:41:31.590Z"
10734218,"Hương Giang Hotel","VND 2.257.200","VND 3.385.800
VND 627.000","Đã bao gồm thuế và phí","","Phòng Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/490904048.jpg?k=54890dd57904cff3c48816ce7a84e7a3d4c0a1f16f6d9a2108b9b152e81485d4&o=","",7.6,2,12,"Bãi Cháy, Hạ Long","Cách trung tâm 3,6km","","No","No","2024-05-16T12:41:31.590Z"
9664936,"Song Kieu Hotel","VND 919.800","VND 1.708.200
VND 292.000","Đã bao gồm thuế và phí","","Giường trong Phòng ngủ tập thể 4 người
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/434297623.jpg?k=92eb962b1a7dcf873398ea2f53177d455abdb60a28faaffa4a15b7142e931b2f&o=","",8.8,2,57,"Bãi Cháy, Hạ Long","Cách trung tâm 3km","","No","No","2024-05-16T12:41:31.590Z"
4139146,"Ivy Hotel","VND 3.193.110","VND 417.400
VND 337.770
VND 225.720","Đã bao gồm thuế và phí","","Phòng Giường Đôi Hạng Tiết Kiệm

Phòng Giường Đôi/2 Giường Đơn Nhìn Ra Biển
","https://cf.bstatic.com/xdata/images/hotel/square600/466616895.jpg?k=8a25728f8f078c6d7a5918f6d53abd78d33deba24d5574610103707b6580c150&o=","",8.6,"",88,"Bãi Cháy, Hạ Long","Cách trung tâm 3,2km","","No","No","2024-05-16T12:41:31.590Z"
9548137,"HaLong Luxury Apartment Chuỗi Căn hộ 2 3 4 Phòng Ngủ","VND 2.598.750","VND 866.250
VND 385.000","Đã bao gồm thuế và phí","","Căn Hộ 2 Phòng Ngủ
","https://cf.bstatic.com/xdata/images/hotel/square600/544946722.jpg?k=b10bcdb9263ae9eeb5d168f71daabf9ec4e0959b12173e1ced4048906724a63f&o=","",7.6,"",5,"Bãi Cháy, Hạ Long","Cách trung tâm 5,8km","","No","No","2024-05-16T12:41:31.590Z"
235708,"Novotel Ha Long Bay Hotel","VND 7.640.000","","+VND 1.023.760 thuế và phí","Bao bữa sáng","Phòng Tiêu Chuẩn Có 1 Giường Cỡ King
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/269914810.jpg?k=3738a7a64decc0a50f4561c7c3ea2aca1bc9ade035b956aafbb8a9a700481693&o=","",7.6,4,302,"Bãi Cháy, Hạ Long","Cách trung tâm 4km","","No","No","2024-05-16T12:41:31.590Z"
11387102,"Majestic Legend Cruise","VND 24.462.406","VND 18.454.094
VND 4.768.500","Đã bao gồm thuế và phí","Bao gồm tất cả","Phòng Superior Giường Đôi/2 Giường Đơn Nhìn Ra Biển
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/533089247.jpg?k=adcaad670915fa4bc8fd89acd397de0ddcc1f5b258718fac90169843ee083c9b&o=","",10,4,3,"Tuần Châu, Hạ Long","Cách trung tâm 9,8km","","No","No","2024-05-16T12:41:31.590Z"
