"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
5728539,"ibis Styles Vung Tau","VND 8.106.170","","+VND 1.086.227 thuế và phí","Bao bữa sáng","Phòng Tiêu Chuẩn 2 Giường Đơn 
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/519498616.jpg?k=b6bea4acad8cf02a8a9c0c61de7308dc154f415022171be305d876d0379bcff0&o=","",8.1,4,938,"Back Beach, Vũng Tàu","Cách trung tâm 1,4km","","No","No","2024-05-16T08:31:00.089Z"
11221371,"KHÁCH SẠN SƠN THỊNH 23D THÙY VÂN","VND 4.056.480","VND 1.014.120","Đã bao gồm thuế và phí","","Phòng Giường Đôi Lớn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/514651489.jpg?k=baf96260d6e0a5423433b8eccb2245af532bc19ec7a9352f8b01b3d62850f040&o=","",8.9,"",54,"Back Beach, Vũng Tàu","Cách trung tâm 2km","","No","No","2024-05-16T08:31:00.089Z"
3808564,"Tomorrow Hostel Vũng Tàu - Tomorrow Homestay","VND 896.000","VND 384.000","Đã bao gồm thuế và phí","","Giường Trong Phòng Ngủ Tập Thể Cho Cả Nam Và Nữ 6 Giường
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/154385174.jpg?k=fa286736371cc196838a5c0618de635dcb2fa3b230ce6e48ccd0ea6c4dc5835b&o=","",8.8,"",373,"Vũng Tàu","Cách trung tâm 0,6km","","No","No","2024-05-16T08:31:00.089Z"
8486268,"Mercury Hotel & Apartment","VND 3.475.994","","Đã bao gồm thuế và phí","","Phòng Giường Đôi Có Ban Công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/507519540.jpg?k=e9c765fa29ebc4f5a29926b2b8b37d5211f28f4c6273e78897cd0e4963b36a4f&o=","",7.9,2,175,"Front Beach, Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T08:31:00.089Z"
9290367,"Sunset Bãi Dâu Boutique Hotel Vũng Tàu","VND 2.653.344","","Đã bao gồm thuế và phí","","Phòng Giường Đôi Nhìn Ra Núi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/411165280.jpg?k=e4347aaafcba87820c47a92f3e380260c2cfd71270a571bcd41ab6351369255f&o=","",8,3,230,"Mulberry Beach, Vũng Tàu","Cách trung tâm 4km","","No","No","2024-05-16T08:31:00.089Z"
1797414,"BH Residence Inn Hotel & Apartment","VND 3.071.350","VND 2.723.650","Đã bao gồm thuế và phí","","Phòng Có 2 Giường Cỡ Queen
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/283195711.jpg?k=306cb678e1f0d6c3faf1a13afacf0127d35316ce23294d1b713a68c644e645a1&o=","",8.4,"",676,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T08:31:00.089Z"
11263257,"The Song Vita's Apartment","VND 3.661.350","VND 2.995.650","Đã bao gồm thuế và phí","","Căn hộ 2 phòng ngủ nhìn ra cảnh thành phố
","https://cf.bstatic.com/xdata/images/hotel/square600/517058774.jpg?k=8c025ac64f636a30dc669dbc9077295b1d3e1932985da2187653e85c6b32d6df&o=","",8.4,4,38,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T08:31:00.089Z"
9247775,"Rubillion Hotel - 5-Min Walking to Back Beach","VND 3.313.204","VND 3.313.204","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/530498801.jpg?k=a2146b099012e588a3b031c57bb3182da187542cfc08bb6f0a935961774b18e0&o=","",8.1,3,386,"Vũng Tàu","Cách trung tâm 1,3km","","No","No","2024-05-16T08:31:00.089Z"
7250074,"Đức Trọng Hotel","VND 1.409.400","VND 469.800","Đã bao gồm thuế và phí","","Phòng Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/337385424.jpg?k=5695f8f87147fa025fa0518a04292df0bb7db8faa0694317959908a3a10af8d9&o=","",7.8,"",974,"Vũng Tàu","Cách trung tâm 1,7km","","No","No","2024-05-16T08:31:00.089Z"
266705,"Mercure Vung Tau Resort","VND 11.486.168","VND 1.276.240","+VND 1.539.147 thuế và phí","Bao bữa sáng","Phòng Superior Có Giường Cỡ King Sườn Đồi - Bên Kia Đường

Phòng Superior 2 Giường Đơn Sườn Đồi - Bên Kia Đường
","https://cf.bstatic.com/xdata/images/hotel/square600/519498191.jpg?k=5b56ac026af5e547d6f5af04b918044054db4ca9b54c08331d5ed1fdf6d4ff85&o=","",8.3,4,280,"Vũng Tàu","Cách trung tâm 2,4km","","No","No","2024-05-16T08:31:00.089Z"
